snp,p_emp,mean_abs_shap,stdev_abs_shap,mean_shap
SNP13793,0.01864406779661017,3.512136522961858e-05,2.6838154511968676e-05,1.0913936421275138e-13
SNP1961,0.0423728813559322,5.2750584509340114e-05,1.9618722903369623e-05,1.0913936421275138e-12
SNP808,0.04406779661016949,3.717533066568043e-05,2.2878242478243207e-05,8.124819335838159e-13
SNP10291,0.04576271186440678,5.282755526422989e-05,2.192759027017425e-05,-2.4253192047278088e-14
SNP1180,0.05084745762711865,1.9048496724280995e-05,2.147802463108592e-05,-8.852415097256502e-13
SNP11797,0.05084745762711865,4.8351272804817803e-05,2.0589036168687588e-05,4.850638409455617e-13
SNP4046,0.05084745762711865,1.8596743836193733e-05,2.3822454053778042e-05,5.032537349810203e-13
SNP6111,0.05593220338983051,5.3162988666978584e-05,3.9139703511527346e-05,-4.3049415883918603e-13
SNP3714,0.059322033898305086,4.711480391658067e-05,2.1904530064115046e-05,1.2126596023639043e-13
SNP12942,0.061016949152542375,6.063921060558641e-05,3.7171293896860326e-05,6.427095892528693e-13
SNP10322,0.06271186440677966,5.068407654107432e-05,3.77409777941342e-05,-1.1520266222457092e-13
SNP2851,0.06271186440677966,5.915890944985828e-05,2.937250953762852e-05,1.0913936421275138e-12
SNP718,0.06610169491525424,4.623976781052382e-05,3.3060829896514436e-05,7.518489534656207e-13
SNP11267,0.06779661016949153,4.372392412430296e-05,2.0136340301243715e-05,-3.395446886618932e-13
SNP12220,0.0711864406779661,4.851257874785612e-05,3.570958555584333e-05,-9.701276818911235e-14
SNP10463,0.07288135593220339,4.365120240739392e-05,2.2227268622700566e-05,-1.697723443309466e-13
SNP10020,0.07966101694915254,4.1499041544739156e-05,2.3079091221915655e-05,3.395446886618932e-13
SNP963,0.08135593220338982,4.873727821177454e-05,4.0521686257359594e-05,-5.456968210637569e-14
SNP13390,0.08305084745762711,5.44185296773018e-05,3.540590785568358e-05,-8.36735125631094e-13
SNP13483,0.08305084745762711,4.510199352807831e-05,2.0625579269535395e-05,7.033425693710645e-13
SNP3008,0.08305084745762711,4.060751454138275e-05,2.3839551627190852e-05,6.427095892528693e-13
SNP2501,0.0847457627118644,5.632690154016018e-05,2.6659154372161948e-05,1.6492170592149098e-12
SNP7325,0.0847457627118644,2.7904710890046166e-05,2.9094392544847555e-05,1.3339255626002948e-13
SNP14519,0.0847457627118644,5.050886203510648e-05,3.729201139330238e-05,-2.3646862246096135e-13
SNP7077,0.08644067796610169,2.0105265648453496e-05,1.701416008486848e-05,2.4253192047278088e-14
SNP212,0.08813559322033898,5.010502978620934e-05,3.744671915799826e-05,-1.2732925824820997e-13
SNP6545,0.08983050847457627,4.425366872358912e-05,1.9236143733507887e-05,-1.697723443309466e-13
SNP10452,0.08983050847457627,4.745001341992368e-05,3.894381328717716e-05,4.850638409455617e-13
SNP7951,0.08983050847457627,1.9542593945516274e-05,1.6512459887476158e-05,3.880510727564494e-13
SNP2389,0.09152542372881356,5.510309211482915e-05,2.586916750369197e-05,2.4253192047278086e-13
SNP6458,0.09491525423728814,3.481013269871861e-05,2.1559371482299316e-05,3.7592447673281034e-13
SNP14419,0.09491525423728814,4.013082183519146e-05,2.3924446436347193e-05,-4.244308608273665e-13
SNP11015,0.09661016949152543,4.3109550279041284e-05,2.4941522649040143e-05,9.580010858674843e-13
SNP140,0.09661016949152543,2.4914538486579355e-05,1.973771570412722e-05,-1.8189894035458565e-14
SNP6291,0.1,5.737738249687633e-05,2.546697149825247e-05,7.518489534656207e-13
SNP14359,0.1016949152542373,2.0867273827510266e-05,1.5125303114433749e-05,-4.1230426480372745e-13
SNP5165,0.1016949152542373,3.821964233793551e-05,3.08955290872734e-05,-6.063298011819522e-14
SNP1488,0.10338983050847457,2.4616509823924084e-05,2.1451927137222134e-05,2.7891170854369797e-13
SNP144,0.10508474576271186,5.2448598144110295e-05,3.311312604522632e-05,9.701276818911235e-14
SNP829,0.10508474576271186,4.60193138133036e-05,3.405430278637639e-05,2.1827872842550277e-13
SNP1564,0.10508474576271186,2.1212277382195073e-05,1.6768363764132263e-05,7.882287415365378e-14
SNP8140,0.10677966101694915,3.368251309439074e-05,1.6349576360390945e-05,2.6678511252005895e-13
SNP4435,0.10677966101694915,4.512170134451784e-05,2.943221348154545e-05,-3.5167128468553224e-13
SNP2734,0.10677966101694915,2.894614288379671e-05,2.014506003297083e-05,6.063298011819522e-14
SNP12199,0.10847457627118644,4.625115128874313e-05,2.104721004871205e-05,9.458744898438454e-13
SNP3877,0.10847457627118644,4.1481138735737963e-05,1.7059167603492974e-05,1.2126596023639043e-13
SNP2916,0.10847457627118644,4.2441757086635336e-05,3.0008144327828542e-05,-6.608994832883279e-13
SNP2233,0.11016949152542373,4.9735054684182005e-05,2.2793032846536343e-05,-1.4551915228366853e-12
SNP1428,0.11186440677966102,2.3292387516751964e-05,2.6162273112153655e-05,-3.2135479462643464e-13
